Game,Score
Disney Epic Mickey 2: The Power of Two,6.2
Neverwinter,6.8
Company of Heroes 2,8.4
Magrunner: Dark Pulse,6.8
Deadpool,6
Deadpool,6
Deadpool,6
Borderlands 2: Tiny Tina's Assault on Dragon Keep,9.2
XCOM: Enemy Unknown,8.5
Muramasa Rebirth,8
Marvel Heroes,5.7
Game &amp; Wario,5.1
Gunpoint,9
The Night of the Rabbit ,7.9
The Night of the Rabbit,7.9
The Incredible Adventures of Van Helsing,7
The Incredible Adventures of Van Helsing,7
Wargame: AirLand Battle,8.4
The Denpa Men 2: Beyond the Waves,7.9
The Last of Us,10
State of Decay,8.9
Gravity Guy 2,7
Animal Crossing: New Leaf,9.6
CastleStorm,8
CastleStorm,8
The Starship Damrey,5.3
Remember Me,5.9
Remember Me,5.9
Sniper Elite V2,7
The Swapper,9.3
Impossible Road,8.4
Tomb Breaker,7.5
Star Wars Knights of the Old Republic,8.8
Dust 514,5.8
Ratchet &amp; Clank: Full Frontal Assault,5.7
Grid 2,8
Grid 2,8
Grid 2,8
Fallen Enchantress: Legendary Heroes ,8
Zombie Tycoon 2: Brainhov's Revenge,4.9
Zombie Tycoon 2: Brainhov's Revenge,4.9
Sorcery!,8.8
Star Command,6.7
Paper Titans,8.2
Gun Commando,7.3
Age of Wushu,7
The House of the Dead: Overkill -- The Lost Reels,7.7
Mars: War Logs,5.3
Mittens,6.2
Zeno Clash II,6.4
Fez,9.5
Fez,9.5
Fez,9.5
Fez,9.5
Robot Unicorn Attack 2,7.9
Guilty Gear XX Accent Core Plus R,7.9
Telltale Games' Poker Night 2,7.5
Telltale Games' Poker Night 2,7.5
Iron Man 3: The Official Game,6.6
Soul Sacrifice,7.7
Sacred Citadel,5.9
Far Cry 3: Blood Dragon,8
Far Cry 3: Blood Dragon,8
Far Cry 3: Blood Dragon ,8
Dragon's Dogma: Dark Arisen,7.9
Dragon's Dogma: Dark Arisen,7.9
Telltale Games' Poker Night 2,7.5
Sacred Citadel,5.9
The Other Brothers,5.6
Star Trek: The Game,4.2
Star Trek: The Game,4.2
Star Trek: The Game,4.2
Teenage Mutant Ninja Turtles: Rooftop Run,6.8
Fish Out of Water,6.9
Deadly Premonition: The Director's Cut,7
The Sushi Spinnery,7.4
Dungeon Hunter 4,5.5
Dillon's Rolling Western: The Last Ranger,6.7
LEGO City Undercover: The Chase Begins,6.3
Monaco,9
Monaco,9
Assassin's Creed III -- The Tyranny of King Washington,6.8
Assassin's Creed III -- The Tyranny of King Washington,6.8
Assassin's Creed III -- The Tyranny of King Washington,6.8
God Mode,6.7
Mr. Crab,7.8
Assassin's Creed III -- The Tyranny of King Washington,6.8
God Mode,6.7
Dead Island Riptide ,7.2
Dead Island Riptide,7.2
Dead Island Riptide,7.2
Surgeon Simulator 2013,7.8
Thomas Was Alone,8
Thomas Was Alone,8
Star Wars: The Old Republic -- Rise of the Hutt Cartel,7.6
Star Wars: The Old Republic,9
Papo &amp; Yo,4
Motocross Madness,8.4
ShootMania Storm,7.8
Defiance,5.5
Defiance,5.2
Defiance,5.9
Dishonored: The Knife of Dunwall,7.5
Dishonored: The Knife of Dunwall,7.5
Dishonored: The Knife of Dunwall,7.5
Injustice: Gods Among Us,8.2
Injustice: Gods Among Us,8.2
Devil Summoner: Soul Hackers,7.8
Cities in Motion 2,7.5
Atelier Totori Plus: The Adventurer of Arland,7.8
Guacamelee!,9
Guacamelee!,9
Toki Tori 2,8
Terraria ,9
BattleBlock Theater,7.8
Terraria,9
Tiger Woods PGA Tour 14,8
Warframe,7
Slender: The Arrival,6.5
Tiger Woods PGA Tour 14,8
Hyperdimension Neptunia Victory,5.4
Incredipede,8.5
Army of Two: The Devil's Cartel,5
Darkstalkers Resurrection,8.4
Darkstalkers Resurrection,8.4
Army of Two: The Devil's Cartel,5
Incredipede,8.5
HarmoKnight,8.5
Need for Speed Most Wanted U,9
Super House of Dead Ninjas,8.3
Major League Baseball 2K13,4.5
Year Walk,8
Luigi's Mansion: Dark Moon,9.3
The Walking Dead: Survival Instinct,4.5
BioShock Infinite,9.5
The Walking Dead: Survival Instinct,4.5
The Walking Dead: Survival Instinct,4.5
BioShock Infinite,9.4
The Walking Dead: Survival Instinct ,4.5
BioShock Infinite,9.4
Naruto Shippuden: Ultimate Ninja Storm 3,8.6
Naruto Shippuden: Ultimate Ninja Storm 3,8.6
Sonic Dash,6.1
Sonic Dash,6.1
StarCraft II: Heart of the Swarm,8.6
Sniper: Ghost Warrior 2,5
Super Stickman Golf 2,8.2
The Showdown Effect,6
Gears of War: Judgment,9.2
Monster Hunter 3 Ultimate,8.8
Monster Hunter 3 Ultimate,8.8
Dead Space 3: Awakened,8.2
Atelier Ayesha: The Alchemist of Dusk,6.2
Dead Space 3: Awakened,8.2
Dead Space 3: Awakened,8.2
LEGO City: Undercover,8
God of War: Ascension,7.8
Ridiculous Fishing: A Tale of Redemption,8
The Banner Saga: Factions,7.8
SimCity,7
Dollar Dash,4.8
Naruto: Powerful Shippuden,8
Dollar Dash,4.8
Mass Effect 3: Citadel ,9.1
Mass Effect 3: Citadel,9.1
Mass Effect 3: Citadel,9.1
MLB 13: The Show,7.6
Castlevania: Lords of Shadow -- Mirror of Fate,4.7
MLB 13: The Show,8.8
Ninja Gaiden Sigma 2 Plus,6
Etrian Odyssey IV: Legends of the Titan,9
March of the Eagles,7.9
Real Racing 3,9.1
Bit.Trip Presents: Runner 2 Future Legend of Rhythm Alien,9
Bit.Trip Presents: Runner 2 Future Legend of Rhythm Alien,9
